1674,1,4,2,1,1,2,Center
2138,2,3,3,2,2,0,Center
258,0,3,3,2,0,5,Center
1675,1,4,2,1,1,3,Center
1406,1,4,3,2,1,3,Center
2639,2,0,3,2,2,2,Center
1106,1,3,2,1,1,4,Center
1325,1,4,2,1,1,2,Center
1148,1,3,3,2,1,1,Center
1150,1,3,3,2,1,4,Center
2604,1,3,3,2,1,4,Center
841,1,1,3,2,1,3,Center
2849,4,0,2,1,4,1,Center
2603,1,3,3,2,1,2,Center
2898,4,0,3,2,4,1,Center
2670,2,2,3,2,2,3,Center
2554,0,5,3,2,0,4,Center
995,1,2,3,2,1,4,Center
2538,0,4,3,2,0,5,Center
2640,2,0,3,2,2,3,Center
102,0,2,3,2,0,3,Center
1693,2,2,2,1,2,3,Center
2522,0,3,3,2,0,5,Center
256,0,3,3,2,0,2,Center
671,0,5,3,2,0,3,Center
1687,2,0,2,1,2,3,Center
103,0,2,3,2,0,4,Center
2536,0,4,3,2,0,2,Center
2589,1,2,3,2,1,4,Center
2537,0,4,3,2,0,3,Center
104,0,2,3,2,0,5,Center
592,0,5,2,1,0,4,Center
1673,1,4,2,1,1,1,Center
1886,2,2,3,2,2,3,Center
1706,2,3,2,1,2,2,Center
2738,4,0,3,2,4,1,Center
1638,0,5,2,1,0,4,Center
2140,2,3,3,2,2,2,Center
1637,0,5,2,1,0,3,Center
1576,2,0,3,2,2,2,Center
993,1,2,3,2,1,1,Center
414,0,4,3,2,0,2,Center
2520,0,3,3,2,0,2,Center
2619,1,4,3,2,1,2,Center
2704,3,0,3,2,3,1,Center
591,0,5,2,1,0,3,Center
2587,1,2,3,2,1,1,Center
670,0,5,3,2,0,2,Center
2553,0,5,3,2,0,3,Center
2686,2,3,3,2,2,2,Center
2507,0,2,3,2,0,4,Center
1664,1,3,2,1,1,4,Center
2684,2,3,3,2,2,0,Center
2506,0,2,3,2,0,3,Center
257,0,3,3,2,0,4,Center
63,0,2,2,1,0,5,Center
799,1,1,2,1,1,4,Center
1618,0,2,2,1,0,5,Center
1404,1,4,3,2,1,1,Center
1624,0,3,2,1,0,5,Center
2521,0,3,3,2,0,4,Center
1630,0,4,2,1,0,5,Center
842,1,1,3,2,1,4,Center
3084,4,1,2,1,4,0,Center
672,0,5,3,2,0,4,Center
